Day,Coin,Price,Price_change_24h,Price_change_90d,Price_1h,Price_1d,Price_1w,Price_30day,Price_90d,Market_cap
2024-04-21,HNT,4.17,2.51,-35.78,3.12,3.12,3.34,4.76,4.66,929914026.0
2024-04-21,ETHDYDX,2.39,4.81,-14.95,1.4,1.4,1.04,2.09,1.75,2394893981.0
2024-04-21,BLUR,0.42,5.0,-29.36,0.58,0.58,0.58,0.46,0.45,1271840581.0
2024-04-21,BTG,37.52,4.88,62.08,36.6,36.6,35.53,42.96,13.23,787902460.0
2024-04-21,TFUEL,0.1,11.32,127.94,0.9,0.9,0.92,0.93,1.03,641537189.0
2024-04-21,LUNC,0.0,7.24,4.31,1.0,1.0,1.0,1.0,1.0,746748311.0
2024-04-21,OSMO,0.97,4.15,-36.78,0.03,0.03,0.02,0.24,0.32,967875233.0
2024-04-21,ASTR,0.11,4.83,-40.72,0.89,0.89,0.9,0.87,0.84,942952089.0
2024-04-21,BOME,0.01,11.84,1134.97,0.99,0.99,0.99,0.99,1.12,776273151.0
2024-04-21,RBN,1.15,13.87,140.43,0.16,0.16,0.2,0.34,1.47,1152514711.0
2024-04-21,DYM,4.11,1.23,-11.29,3.12,3.12,2.7,4.4,3.58,4113930364.0
2024-04-21,XAUt,2392.64,-0.03,18.58,2391.5,2391.5,2364.61,2147.28,1947.0,589843572.0
2024-04-21,OCEAN,1.02,13.06,128.05,0.03,0.03,0.2,0.15,1.29,1440547552.0
2024-04-21,WOO,0.31,5.25,-18.06,0.69,0.69,0.71,0.59,0.63,697888265.0
2024-04-21,XRD,0.06,3.26,26.47,0.94,0.94,0.94,0.93,0.96,705558337.0
2024-04-21,IOTX,0.06,8.21,38.44,0.94,0.94,0.95,0.93,0.96,601780647.0
2024-04-21,OM,0.71,1.55,517.13,0.3,0.3,0.27,0.43,3.95,629147920.0
2024-04-21,WEMIX,1.54,3.83,-38.44,0.54,0.54,0.5,1.21,1.14,1513939111.0
2024-04-21,CRV,0.46,6.11,-12.53,0.54,0.54,0.55,0.39,0.48,1527870450.0
2024-04-21,XDC,0.04,-0.48,-16.03,0.96,0.96,0.96,0.96,0.95,1489285801.0
2024-04-21,SUPER,1.09,5.8,78.85,0.09,0.09,0.12,0.22,0.77,1088912202.0
2024-04-21,SKL,0.1,6.41,36.11,0.9,0.9,0.91,0.9,0.94,689668151.0
2024-04-21,TUSD,1.0,-0.02,1.48,0.0,0.0,0.0,0.01,0.01,510116310.0
2024-04-21,1INCH,0.44,4.02,7.58,0.56,0.56,0.59,0.47,0.6,654963177.0
2024-04-21,DEXE,13.84,5.54,308.42,12.91,12.91,11.04,11.41,29.84,1369017483.0
2024-04-21,MANTA,1.98,5.52,-21.58,0.97,0.97,1.09,1.72,1.4,1975499099.0
2024-04-21,GMT,0.26,6.02,-10.8,0.75,0.75,0.75,0.71,0.72,1373507833.0
2024-04-21,LPT,15.46,17.3,109.22,14.46,14.46,9.44,17.44,2.42,492558956.0
2024-04-21,ANKR,0.05,-2.89,103.09,0.95,0.95,0.96,0.96,1.0,485560913.0
2024-04-21,ENJ,0.35,4.07,21.88,0.65,0.65,0.68,0.53,0.73,629069008.0
2024-04-21,COMP,59.24,6.87,7.63,58.19,58.19,51.65,70.34,53.72,592390998.0
2024-04-21,MX,4.86,-8.17,76.69,3.98,3.98,4.13,3.04,0.13,4860260718.0
2024-04-21,TWT,1.14,2.49,3.09,0.14,0.14,0.04,0.33,0.11,1140928215.0
2024-04-21,LUNA,0.66,7.78,5.65,0.34,0.34,0.39,0.14,0.37,665633123.0
2024-04-21,ETHFI,4.12,9.11,0.54,3.12,3.12,3.06,2.9,3.1,4121350171.0
2024-04-21,ALT,0.43,7.51,54.4,0.57,0.57,0.57,0.5,0.8,4315542376.0
2024-04-21,ZRX,0.56,5.86,77.93,0.44,0.44,0.52,0.22,0.88,559766354.0
2024-04-21,ENS,15.1,7.3,-18.65,14.09,14.09,12.0,18.69,16.92,1510299417.0
2024-04-21,NFT,0.0,2.82,13.87,1.0,1.0,1.0,1.0,1.0,471406481.0
2024-04-21,RPL,22.94,4.13,-23.18,21.98,21.98,18.86,28.55,27.26,465560610.0
2024-04-21,CELO,0.87,6.02,28.56,0.14,0.14,0.22,0.07,0.38,865005940.0
2024-04-21,MEW,0.01,-0.39,191.05,0.99,0.99,1.0,1.0,1.0,457523668.0
2024-04-21,ZIL,0.03,4.46,23.23,0.97,0.97,0.98,0.97,0.98,551094540.0
2024-04-21,ETHW,4.21,6.74,52.34,3.2,3.2,2.55,2.56,1.0,453573953.0
2024-04-21,FTT,1.38,7.83,-47.34,0.37,0.37,0.26,0.79,1.03,484498576.0
2024-04-21,SC,0.01,11.94,-39.74,0.99,0.99,0.99,0.99,0.99,451960783.0
2024-04-21,RAY,1.72,8.26,46.13,0.71,0.71,0.4,1.01,0.08,952160197.0
2024-04-21,ARKM,2.2,24.0,321.94,1.1,1.1,0.21,1.6,5.87,2195366692.0
2024-04-21,HOT,0.0,8.91,33.73,1.0,1.0,1.0,1.0,1.0,459652989.0
2024-04-21,JTO,3.71,-0.12,73.16,2.71,2.71,1.76,1.85,0.0,3709977840.0
2024-04-21,ID,0.87,7.34,199.52,0.14,0.14,0.35,0.08,1.86,1730826462.0
2024-04-21,RVN,0.03,3.92,71.4,0.97,0.97,0.97,0.97,0.99,677846426.0
2024-04-21,GAL,4.21,10.45,130.48,3.16,3.16,3.01,4.15,2.28,842081526.0
2024-04-21,PAXG,2387.45,-0.13,19.06,2382.35,2382.35,2407.86,2137.72,1931.46,437970030.0
2024-04-21,QTUM,4.15,2.57,38.82,3.15,3.15,2.8,3.28,1.54,447719315.0
2024-04-21,ELF,0.58,3.03,2.09,0.42,0.42,0.45,0.39,0.44,576329563.0
2024-04-21,FXS,5.18,2.83,-45.74,4.18,4.18,3.87,5.7,6.56,516770527.0
2024-04-21,POLYX,0.49,8.31,201.18,0.53,0.53,0.58,0.59,1.49,506567167.0
2024-04-21,SSV,40.89,6.41,29.49,39.93,39.93,38.28,51.76,27.84,0.0
2024-04-21,BICO,0.56,7.63,42.92,0.45,0.45,0.45,0.47,0.68,557548549.0
2024-04-21,GLM,0.4,4.69,82.04,0.6,0.6,0.63,0.53,0.93,401050800.0
2024-04-21,SAGA,4.45,6.12,-23.76,3.46,3.46,2.95,4.5,4.5,4456867266.0
2024-04-21,BAT,0.27,6.33,18.59,0.73,0.73,0.75,0.7,0.78,399893131.0
2024-04-21,TRAC,0.97,3.32,77.43,0.03,0.03,0.07,0.19,0.78,486657313.0
2024-04-21,CSPR,0.03,4.77,-22.46,0.97,0.97,0.97,0.96,0.96,408747468.0
2024-04-21,SFP,0.83,0.47,15.62,0.17,0.17,0.21,0.28,0.3,414142043.0
2024-04-21,CFG,0.78,2.41,35.6,0.22,0.22,0.22,0.06,0.5,423930791.0
2024-04-21,ZEC,23.22,2.77,0.29,22.2,22.2,20.46,26.94,22.16,487692212.0
2024-04-21,ILV,100.43,4.85,24.16,99.14,99.14,94.39,124.06,75.16,792334025.0
2024-04-21,GAS,5.57,2.38,-8.76,4.57,4.57,4.08,5.31,5.06,376560012.0
2024-04-21,METIS,66.76,4.93,-21.93,65.88,65.88,58.68,90.79,80.41,667642412.0
2024-04-21,T,0.04,7.42,36.38,0.96,0.96,0.97,0.96,0.98,426595678.0
